Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
444,Domantas Sabonis\sabondo01,PF,24,IND,62,62,2231,7.8,14.6,.535,0.8,2.6,.321,7.0,12.0,.582,3.9,5.3,.732,2.4,9.6,12.0,6.7,1.2,0.5,3.4,3.3,20.3
445,Luka Šamanić\samanlu01,PF,21,SAS,33,4,308,5.5,12.3,.448,1.4,5.0,.279,4.1,7.2,.565,1.9,3.4,.552,1.9,6.1,7.9,1.8,0.9,0.9,2.3,5.0,14.3
446,JaKarr Sampson\sampsja02,PF,27,IND,29,4,316,6.4,12.9,.496,0.3,1.7,.200,6.0,11.2,.541,2.2,3.3,.655,3.1,5.7,8.8,0.5,0.2,1.6,1.7,5.9,15.3
447,Dario Šarić\saricda01,C,26,PHO,50,4,871,6.3,14.1,.447,1.9,5.6,.348,4.4,8.6,.512,3.5,4.1,.848,1.9,6.0,7.9,2.7,1.2,0.2,2.4,3.9,18.1
448,Tomáš Satoranský\satorto01,SG,29,CHI,58,18,1307,4.7,9.1,.514,1.2,3.3,.356,3.5,5.8,.602,1.8,2.2,.848,0.8,3.1,3.9,7.5,1.1,0.4,2.6,2.5,12.3
449,Dennis Schröder\schrode01,SG,27,LAL,61,61,1956,6.1,14.0,.437,1.3,3.9,.335,4.8,10.1,.476,3.8,4.5,.848,0.6,3.3,3.9,6.5,1.3,0.2,3.0,2.9,17.3
450,Mike Scott\scottmi01,PF,32,PHI,51,12,852,3.2,8.9,.360,2.2,6.5,.342,1.0,2.4,.411,0.3,0.5,.667,0.5,4.6,5.1,1.7,1.0,0.6,0.8,3.0,9.0
451,Jay Scrubb\scrubja01,SG,20,LAC,4,1,84,6.0,15.4,.389,0.9,3.9,.222,5.1,11.6,.444,2.1,2.1,1.000,0.9,5.1,6.0,0.4,1.7,0.0,3.0,2.1,15.0
452,Collin Sexton\sextoco01,SG,22,CLE,60,60,2115,8.9,18.8,.475,1.7,4.5,.371,7.3,14.3,.508,5.3,6.5,.815,1.0,2.2,3.2,4.5,1.1,0.2,2.8,2.7,24.9
453,Landry Shamet\shamela01,SG,23,BRK,61,12,1403,4.8,11.7,.408,3.3,8.5,.387,1.5,3.2,.463,1.7,2.0,.846,0.3,2.6,2.9,2.5,0.8,0.3,1.2,2.4,14.5
454,Iman Shumpert\shumpim01,SG,30,BRK,2,0,11,3.3,13.1,.250,0.0,9.8,.000,3.3,3.3,1.000,0.0,0.0,,3.3,0.0,3.3,0.0,3.3,0.0,3.3,0.0,6.5
455,Pascal Siakam\siakapa01,PF,26,TOR,56,56,2006,7.8,17.2,.455,1.3,4.4,.297,6.5,12.8,.509,4.5,5.4,.827,1.7,5.6,7.3,4.5,1.1,0.7,2.3,3.1,21.5
456,Chris Silva\silvach01,PF,24,TOT,15,0,92,3.9,6.3,.625,0.4,0.4,1.000,3.5,5.9,.600,4.3,5.9,.733,2.7,7.8,10.6,2.3,0.4,2.3,3.9,9.4,12.5
456,Chris Silva\silvach01,PF,24,MIA,11,0,83,3.9,5.6,.692,0.4,0.4,1.000,3.5,5.2,.667,4.8,6.5,.733,3.0,7.8,10.8,2.6,0.4,2.2,3.9,8.7,13.0
456,Chris Silva\silvach01,PF,24,SAC,4,0,9,4.0,12.0,.333,0.0,0.0,,4.0,12.0,.333,0.0,0.0,,0.0,8.0,8.0,0.0,0.0,4.0,4.0,16.0,8.0
457,Ben Simmons\simmobe01,PG,24,PHI,58,58,1877,6.2,11.2,.557,0.1,0.2,.300,6.2,11.0,.562,3.4,5.5,.613,1.8,6.2,8.0,7.7,1.8,0.7,3.3,3.3,15.9
458,Anfernee Simons\simonan01,SG,21,POR,64,0,1104,5.5,13.1,.419,3.9,9.2,.426,1.6,3.9,.403,1.5,1.9,.807,0.5,4.1,4.6,2.9,0.6,0.3,1.4,3.1,16.4
459,Deividas Sirvydis\sirvyde01,SG,20,DET,20,0,133,3.8,10.8,.350,2.7,7.6,.357,1.1,3.2,.333,0.8,1.6,.500,0.0,7.8,7.8,1.4,0.5,0.0,1.4,2.4,11.1
460,Alen Smailagić\smailal01,PF,20,GSW,15,1,84,4.7,11.6,.407,1.7,4.3,.400,3.0,7.3,.412,0.9,2.6,.333,2.6,4.3,6.9,1.7,1.3,2.1,2.1,4.7,12.0
461,Marcus Smart\smartma01,PG,26,BOS,48,45,1581,4.6,11.6,.398,2.1,6.4,.330,2.5,5.2,.482,2.9,3.7,.790,0.8,3.0,3.8,6.2,1.6,0.5,2.2,2.9,14.3
462,Dennis Smith Jr.\smithde03,PG,23,TOT,23,9,420,5.0,12.4,.400,1.6,5.0,.328,3.3,7.5,.448,1.6,2.2,.731,1.0,3.7,4.7,6.6,2.0,1.2,2.2,3.2,13.2
462,Dennis Smith Jr.\smithde03,PG,23,NYK,3,0,28,2.6,12.9,.200,0.0,5.1,.000,2.6,7.7,.333,6.4,7.7,.833,0.0,2.6,2.6,3.9,3.9,0.0,1.3,5.1,11.6
462,Dennis Smith Jr.\smithde03,PG,23,DET,20,9,392,5.1,12.4,.415,1.7,5.0,.352,3.4,7.4,.457,1.3,1.8,.700,1.1,3.8,4.9,6.8,1.8,1.3,2.3,3.0,13.3
463,Ish Smith\smithis01,PG,32,WAS,44,1,924,5.0,11.6,.434,0.7,1.9,.367,4.3,9.7,.448,0.7,1.3,.576,0.9,5.0,5.8,6.7,1.2,0.5,1.6,2.4,11.5
464,Jalen Smith\smithja04,PF,20,PHO,27,1,156,5.1,11.5,.440,0.9,3.9,.235,4.2,7.6,.545,1.2,1.6,.714,1.6,6.9,8.5,0.9,0.2,1.2,1.6,3.7,12.2
465,Tony Snell\snellto01,SG,29,ATL,47,23,992,3.2,6.2,.515,2.3,4.0,.569,0.9,2.3,.419,0.4,0.4,1.000,0.7,3.4,4.1,2.1,0.5,0.4,0.8,2.7,9.0
466,Ray Spalding\spaldra01,C,23,HOU,2,0,19,3.8,7.6,.500,0.0,1.9,.000,3.8,5.7,.667,0.0,3.8,.000,3.8,3.8,7.6,0.0,0.0,3.8,5.7,5.7,7.6
467,Cassius Stanley\stanlca01,SG,21,IND,24,0,93,5.0,16.6,.302,1.2,5.0,.231,3.9,11.6,.333,2.7,3.5,.778,3.1,4.6,7.7,0.4,0.4,0.8,0.4,5.4,13.9
468,Lamar Stevens\stevela01,PF,23,CLE,40,0,499,4.5,9.8,.456,0.3,1.8,.160,4.2,8.0,.523,2.7,3.7,.725,1.7,5.2,6.9,1.8,1.2,0.9,1.7,3.8,11.9
